"recording_id","commune","latitude","longitude","species"
212,"Cassou",1.807893,42.791288,"Turdus merula"
213,"Cassou",1.807893,42.791288,"Emberiza citrinella"
213,"Cassou",1.807893,42.791288,"Fringilla coelebs"
213,"Cassou",1.807893,42.791288,"Sylvia atricapilla"
215,"Mérens-les-Vals",1.80646,42.649569,"Anthus trivialis"
215,"Mérens-les-Vals",1.80646,42.649569,"Emberiza cia"
215,"Mérens-les-Vals",1.80646,42.649569,"Fringilla coelebs"
215,"Mérens-les-Vals",1.80646,42.649569,"Loxia curvirostra"
215,"Mérens-les-Vals",1.80646,42.649569,"Periparus ater"
215,"Mérens-les-Vals",1.80646,42.649569,"Phylloscopus collybita"
215,"Mérens-les-Vals",1.80646,42.649569,"Prunella modularis"
215,"Mérens-les-Vals",1.80646,42.649569,"Sylvia atricapilla"
215,"Mérens-les-Vals",1.80646,42.649569,"Turdus philomelos"
216,"Mérens-les-Vals",1.80646,42.649569,"Anthus trivialis"
216,"Mérens-les-Vals",1.80646,42.649569,"Phylloscopus collybita"
216,"Mérens-les-Vals",1.80646,42.649569,"Sylvia atricapilla"
218,"Bonac-Irazein",0.994684,42.827935,"Anthus trivialis"
218,"Bonac-Irazein",0.994684,42.827935,"Fringilla coelebs"
218,"Bonac-Irazein",0.994684,42.827935,"Lophophanes cristatus"
218,"Bonac-Irazein",0.994684,42.827935,"Parus major"
218,"Bonac-Irazein",0.994684,42.827935,"Picus sharpei"
219,"Bonac-Irazein",0.994684,42.827935,"Anthus trivialis"
219,"Bonac-Irazein",0.994684,42.827935,"Corvus corax"
219,"Bonac-Irazein",0.994684,42.827935,"Fringilla coelebs"
221,"Orgeix",1.872652,42.655974,"Erithacus rubecula"
221,"Orgeix",1.872652,42.655974,"Fringilla coelebs"
221,"Orgeix",1.872652,42.655974,"Parus major"
221,"Orgeix",1.872652,42.655974,"Phylloscopus collybita"
221,"Orgeix",1.872652,42.655974,"Prunella modularis"
221,"Orgeix",1.872652,42.655974,"Regulus regulus"
221,"Orgeix",1.872652,42.655974,"Sylvia atricapilla"
221,"Orgeix",1.872652,42.655974,"Troglodytes troglodytes"
222,"Orgeix",1.872652,42.655974,"Anthus trivialis"
222,"Orgeix",1.872652,42.655974,"Erithacus rubecula"
222,"Orgeix",1.872652,42.655974,"Fringilla coelebs"
222,"Orgeix",1.872652,42.655974,"Periparus ater"
222,"Orgeix",1.872652,42.655974,"Phylloscopus collybita"
222,"Orgeix",1.872652,42.655974,"Prunella modularis"
222,"Orgeix",1.872652,42.655974,"Sylvia atricapilla"
225,"Orlu",1.971476,42.651597,"Fringilla coelebs"
227,"Mijanès",2.009482,42.73465,"Alauda arvensis"
227,"Mijanès",2.009482,42.73465,"Anthus trivialis"
227,"Mijanès",2.009482,42.73465,"Cuculus canorus"
227,"Mijanès",2.009482,42.73465,"Emberiza cia"
227,"Mijanès",2.009482,42.73465,"Lophophanes cristatus"
227,"Mijanès",2.009482,42.73465,"Lullula arborea"
227,"Mijanès",2.009482,42.73465,"Picus sharpei"
227,"Mijanès",2.009482,42.73465,"Saxicola rubicola"
227,"Mijanès",2.009482,42.73465,"Troglodytes troglodytes"
227,"Mijanès",2.009482,42.73465,"Turdus merula"
230,"Seix",1.12934,42.79046,"Anthus trivialis"
230,"Seix",1.12934,42.79046,"Corvus corone"
230,"Seix",1.12934,42.79046,"Emberiza cia"
230,"Seix",1.12934,42.79046,"Sylvia atricapilla"
230,"Seix",1.12934,42.79046,"Turdus merula"
230,"Seix",1.12934,42.79046,"Turdus philomelos"
231,"Seix",1.12934,42.79046,"Anthus trivialis"
231,"Seix",1.12934,42.79046,"Corvus corone"
231,"Seix",1.12934,42.79046,"Sylvia atricapilla"
231,"Seix",1.12934,42.79046,"Turdus merula"
233,"Couflens",1.217718,42.736134,"Anthus spinoletta"
233,"Couflens",1.217718,42.736134,"Anthus trivialis"
233,"Couflens",1.217718,42.736134,"Fringilla coelebs"
233,"Couflens",1.217718,42.736134,"Prunella modularis"
233,"Couflens",1.217718,42.736134,"Sylvia atricapilla"
233,"Couflens",1.217718,42.736134,"Troglodytes troglodytes"
233,"Couflens",1.217718,42.736134,"Turdus merula"
234,"Couflens",1.217718,42.736134,"Cuculus canorus"
236,"Montségur",1.780622,42.82339,"Carduelis citrinella"
236,"Montségur",1.780622,42.82339,"Troglodytes troglodytes"
237,"Montségur",1.780622,42.82339,"Phoenicurus ochruros"
237,"Montségur",1.780622,42.82339,"Pyrrhocorax pyrrhocorax"
237,"Montségur",1.780622,42.82339,"Troglodytes troglodytes"
