"Scientific_name","English_name"
"Burhinus oedicnemus","Eurasian Thick-knee"
"Passer hispaniolensis","Spanish Sparrow"
"Tringa nebularia","Common Greenshank"
"Falco peregrinus","Peregrine Falcon"
"Morus bassanus","Northern Gannet"
"Falco naumanni","Lesser Kestrel"
"Aegypius monachus","Cinereous Vulture"
"Sternula albifrons","Little Tern"
"Cecropis daurica","Red-rumped Swallow"
"Columba oenas","Stock Dove"
"Chlidonias hybrida","Whiskered Tern"
"Anthus pratensis","Meadow Pipit"
"Monticola solitarius","Blue Rock-Thrush"
"Pandion haliaetus","Osprey"
"Thalasseus sandvicensis","Sandwich Tern"
"Gelochelidon nilotica","Gull-billed Tern"
"Calidris pugnax","Ruff"
"Strix aluco","Tawny Owl"
"Limosa limosa","Black-tailed Godwit"
"Phylloscopus ibericus","Iberian Chiffchaff"
"Ardeola ralloides","Squacco Heron"
"Chlidonias niger","Black Tern"
"Charadrius hiaticula","Common Ringed Plover"
"Dryocopus martius","Black Woodpecker"
"Athene noctua","Little Owl"
"Platalea leucorodia","Eurasian Spoonbill"
"Anas crecca","Green-winged Teal"
"Coracias garrulus","European Roller"
"Lanius meridionalis","Iberian Gray Shrike"
"Spatula querquedula","Garganey"
"Calidris alpina","Dunlin"
"Gallinago gallinago","Common Snipe"
"Spinus spinus","Eurasian Siskin"
"Branta canadensis","Canada Goose"
"Certhia familiaris","Eurasian Treecreeper"
"Tyto alba","Barn Owl"
"Charadrius alexandrinus","Kentish Plover"
"Numenius arquata","Eurasian Curlew"
"Larus fuscus","Lesser Black-backed Gull"
"Circus cyaneus","Hen Harrier"
"Falco columbarius","Merlin"
"Anas acuta","Northern Pintail"
"Tringa erythropus","Spotted Redshank"
"Corvus cornix","Hooded Crow"
"Calidris minuta","Little Stint"
"Mergus merganser","Common Merganser"
"Oenanthe hispanica","Western Black-eared Wheatear"
"Passer italiae","Italian Sparrow"
"Ichthyaetus audouinii","Audouin's Gull"
"Hippolais icterina","Icterine Warbler"
"Ixobrychus minutus","Little Bittern"
"Porphyrio porphyrio","Western Swamphen"
"Apus pallidus","Pallid Swift"
"Hydroprogne caspia","Caspian Tern"
"Calidris ferruginea","Curlew Sandpiper"
"Emberiza hortulana","Ortolan Bunting"
