"recording_id","initial_time","final_time","species","total_time","min_code_n_ind"
"2","8","11","Alectoris rufa","0.85","4"
"2","8","11","Erithacus rubecula","3","4"
"2","8","11","Hippolais polyglotta","1.6","4"
"2","8","11","Turdus merula","1.1","4"
"2","9","12","Alectoris rufa","0.85","4"
"2","9","12","Erithacus rubecula","3","4"
"2","9","12","Hippolais polyglotta","2.6","4"
"2","9","12","Turdus merula","0.1","4"
"2","10","13","Alectoris rufa","0.53","4"
"2","10","13","Erithacus rubecula","2.91","4"
"2","10","13","Hippolais polyglotta","2.94","4"
"2","11","14","Erithacus rubecula","1.91","4"
"2","11","14","Hippolais polyglotta","1.94","4"
"2","11","14","Sylvia atricapilla","0.7","4"
"2","11","14","Turdus merula","0.3","4"
"2","12","15","Erithacus rubecula","0.91","4"
"2","12","15","Hippolais polyglotta","0.94","4"
"2","12","15","Sylvia atricapilla","1.7","4"
"2","12","15","Turdus merula","1.3","4"
"2","13","16","Sylvia atricapilla","2.7","4"
"2","13","16","Turdus merula","2.3","4"
"2","14","17","Curruca communis","0.18","4"
"2","14","17","Sylvia atricapilla","2.4","4"
"2","14","17","Turdus merula","2.51","4"
"2","15","18","Curruca communis","1.01","4"
"2","15","18","Sylvia atricapilla","1.4","4"
"2","15","18","Sylvia atricapilla","0.5","4"
"2","15","18","Turdus merula","1.51","4"
"2","16","19","Alectoris rufa","0.81","1"
"2","16","19","Curruca communis","1.01","4"
"2","16","19","Sylvia atricapilla","0.4","4"
"2","16","19","Sylvia atricapilla","1.5","4"
"2","16","19","Turdus merula","0.51","4"
"2","17","20","Alectoris rufa","0.81","1"
"2","17","20","Corvus corone","0.31","1"
"2","17","20","Curruca communis","0.83","4"
"2","17","20","Hippolais polyglotta","0.07","4"
"2","17","20","Sylvia atricapilla","2.5","4"
"2","17","20","Turdus merula","0.05","4"
"2","18","21","Alectoris rufa","0.81","1"
"2","18","21","Corvus corone","1.31","1"
"2","18","21","Hippolais polyglotta","1.07","4"
"2","18","21","Sylvia atricapilla","2.78","4"
"2","18","21","Turdus merula","1.05","4"
"2","19","22","Corvus corone","2.31","1"
"2","19","22","Hippolais polyglotta","2.05","4"
"2","19","22","Sylvia atricapilla","1.78","4"
"2","19","22","Turdus merula","2.05","4"
"2","20","23","Corvus corone","2.56","1"
"2","20","23","Hippolais polyglotta","1.98","4"
"2","20","23","Luscinia megarhynchos","0.99","4"
"2","20","23","Sylvia atricapilla","0.78","4"
"2","20","23","Turdus merula","2.01","4"
"2","21","24","Corvus corone","1.56","1"
"2","21","24","Cyanistes caeruleus","0.62","1"
"2","21","24","Hippolais polyglotta","0.98","4"
"2","21","24","Luscinia megarhynchos","1.52","4"
"2","21","24","Turdus merula","1.01","4"
"2","22","25","Corvus corone","0.56","1"
"2","22","25","Cyanistes caeruleus","0.95","1"
"2","22","25","Luscinia megarhynchos","1.52","4"
"2","22","25","Turdus merula","0.01","4"
"2","23","26","Corvus corone","0.53","1"
"2","23","26","Cyanistes caeruleus","0.95","1"
"2","23","26","Luscinia megarhynchos","0.54","4"
"2","23","26","Sylvia atricapilla","0.69","4"
"2","24","27","Corvus corone","1.39","1"
"2","24","27","Cyanistes caeruleus","0.33","1"
"2","24","27","Luscinia megarhynchos","0.4","1"
"2","24","27","Sylvia atricapilla","1.69","4"
"2","25","28","Alectoris rufa","0.3","1"
"2","25","28","Corvus corone","1.39","1"
"2","25","28","Corvus corone","0.67","1"
"2","25","28","Luscinia megarhynchos","0.92","1"
"2","25","28","Sylvia atricapilla","2.69","4"
"2","26","29","Alectoris rufa","1.3","1"
"2","26","29","Corvus corone","0.86","1"
"2","26","29","Corvus corone","0.67","1"
"2","26","29","Luscinia megarhynchos","0.92","1"
"2","26","29","Sylvia atricapilla","3","4"
"2","27","30","Alectoris rufa","1.4","1"
"2","27","30","Corvus corone","0.67","1"
"2","27","30","Luscinia megarhynchos","0.52","1"
"2","27","30","Sylvia atricapilla","3","4"
"2","28","31","Alectoris rufa","1.1","1"
"2","28","31","Corvus corone","0.22","1"
"2","28","31","Sylvia atricapilla","2.86","4"
"2","29","32","Alectoris rufa","0.1","1"
"2","29","32","Corvus corone","1.22","1"
"2","29","32","Luscinia megarhynchos","0.66","1"
"2","29","32","Sylvia atricapilla","1.86","4"
"2","30","33","Corvus corone","2.22","1"
"2","30","33","Curruca communis","0.68","4"
"2","30","33","Luscinia megarhynchos","1.52","1"
"2","30","33","Sylvia atricapilla","0.86","4"
"2","31","34","Corvus corone","3","1"
"2","31","34","Curruca communis","1.68","4"
"2","31","34","Luscinia megarhynchos","1.52","1"
"2","31","34","Sylvia atricapilla","0.25","4"
"2","32","35","Corvus corone","3","1"
"2","32","35","Curruca communis","2.24","4"
"2","32","35","Luscinia megarhynchos","0.87","1"
"2","32","35","Sylvia atricapilla","1.25","4"
"2","33","36","Alectoris rufa","0.34","1"
"2","33","36","Corvus corone","3","1"
"2","33","36","Curruca communis","1.56","4"
"2","33","36","Sylvia atricapilla","2.25","4"
"2","34","37","Alectoris rufa","0.7","1"
"2","34","37","Corvus corone","2.05","1"
"2","34","37","Curruca communis","0.56","4"
"2","34","37","Sylvia atricapilla","3","4"
"2","35","38","Alectoris rufa","0.7","1"
"2","35","38","Corvus corone","1.05","1"
"2","35","38","Cyanistes caeruleus","0.49","1"
"2","35","38","Sylvia atricapilla","3","4"
"2","36","39","Alectoris rufa","0.36","1"
"2","36","39","Alectoris rufa","0.24","1"
"2","36","39","Corvus corone","0.05","1"
"2","36","39","Cyanistes caeruleus","1.49","1"
"2","36","39","Sylvia atricapilla","3","4"
"2","37","40","Alectoris rufa","0.24","1"
"2","37","40","Corvus corone","0.01","4"
"2","37","40","Cyanistes caeruleus","1.98","1"
"2","37","40","Sylvia atricapilla","3","4"
"2","38","41","Alectoris rufa","0.24","1"
"2","38","41","Corvus corone","1.01","4"
"2","38","41","Cyanistes caeruleus","1.49","1"
"2","38","41","Sylvia atricapilla","3","4"
"2","39","42","Alectoris rufa","0.65","4"
"2","39","42","Corvus corone","1.41","4"
"2","39","42","Cyanistes caeruleus","0.49","1"
"2","39","42","Sylvia atricapilla","3","4"
"2","39","42","Turdus merula","0.24","4"
"2","40","43","Alectoris rufa","1.65","4"
"2","40","43","Corvus corone","1.4","4"
"2","40","43","Luscinia megarhynchos","0.71","1"
"2","40","43","Sylvia atricapilla","3","4"
"2","40","43","Turdus merula","1.24","4"
"2","41","44","Alectoris rufa","2.04","4"
"2","41","44","Corvus corone","0.4","4"
"2","41","44","Cyanistes caeruleus","0.12","1"
"2","41","44","Luscinia megarhynchos","0.83","1"
"2","41","44","Sylvia atricapilla","3","4"
"2","41","44","Turdus merula","1.87","4"
"2","42","45","Alectoris rufa","1.39","4"
"2","42","45","Corvus corone","0.12","1"
"2","42","45","Cyanistes caeruleus","0.73","1"
"2","42","45","Luscinia megarhynchos","0.83","1"
"2","42","45","Sylvia atricapilla","3","4"
"2","42","45","Turdus merula","1.63","4"
"2","43","46","Alectoris rufa","0.39","4"
"2","43","46","Alectoris rufa","0.73","4"
"2","43","46","Corvus corone","1.12","1"
"2","43","46","Cyanistes caeruleus","0.73","1"
"2","43","46","Luscinia megarhynchos","0.12","1"
"2","43","46","Sylvia atricapilla","3","4"
"2","43","46","Turdus merula","0.63","4"
"2","44","47","Alectoris rufa","1.73","4"
"2","44","47","Corvus corone","2.12","1"
"2","44","47","Cyanistes caeruleus","0.61","1"
"2","44","47","Sylvia atricapilla","3","4"
"2","45","48","Alectoris rufa","2.73","4"
"2","45","48","Corvus corone","2.76","1"
"2","45","48","Cyanistes caeruleus","0.04","1"
"2","45","48","Sylvia atricapilla","3","4"
"2","45","48","Turdus merula","0.69","4"
"2","46","49","Alectoris rufa","3","4"
"2","46","49","Corvus corone","1.76","1"
"2","46","49","Cyanistes caeruleus","1.04","1"
"2","46","49","Sylvia atricapilla","3","4"
"2","46","49","Turdus merula","0.9","4"
"2","47","50","Alectoris rufa","3","4"
"2","47","50","Corvus corone","0.76","1"
"2","47","50","Cyanistes caeruleus","1.17","1"
"2","47","50","Oriolus oriolus","0.63","4"
"2","47","50","Sylvia atricapilla","3","4"
"2","47","50","Turdus merula","0.9","4"
"2","48","51","Alectoris rufa","3","4"
"2","48","51","Corvus corone","0.39","1"
"2","48","51","Cyanistes caeruleus","1.13","1"
"2","48","51","Oriolus oriolus","0.7","4"
"2","48","51","Sylvia atricapilla","3","4"
"2","48","51","Turdus merula","0.21","4"
"2","49","52","Alectoris rufa","2.87","4"
"2","49","52","Corvus corone","0.39","1"
"2","49","52","Cyanistes caeruleus","0.13","1"
"2","49","52","Oriolus oriolus","0.7","4"
"2","49","52","Phoenicurus ochruros","0.66","4"
"2","49","52","Streptopelia decaocto","0.86","2"
"2","49","52","Sylvia atricapilla","3","4"
"2","50","53","Alectoris rufa","1.87","4"
"2","50","53","Corvus corone","0.39","1"
"2","50","53","Cyanistes caeruleus","0.7","4"
"2","50","53","Luscinia megarhynchos","0.75","4"
"2","50","53","Oriolus oriolus","0.07","4"
"2","50","53","Phoenicurus ochruros","0.87","4"
"2","50","53","Streptopelia decaocto","1.86","2"
"2","50","53","Sylvia atricapilla","3","4"
"2","51","54","Alectoris rufa","0.87","4"
"2","51","54","Cyanistes caeruleus","0.7","4"
"2","51","54","Luscinia megarhynchos","1.75","4"
"2","51","54","Phoenicurus ochruros","0.87","4"
"2","51","54","Streptopelia decaocto","2.86","2"
"2","51","54","Sylvia atricapilla","2.69","4"
"2","52","55","Cyanistes caeruleus","0.7","4"
"2","52","55","Luscinia megarhynchos","1.94","4"
"2","52","55","Phoenicurus ochruros","0.21","4"
"2","52","55","Streptopelia decaocto","3","2"
"2","52","55","Sylvia atricapilla","1.69","4"
"2","52","55","Turdus merula","0.13","4"
"2","53","56","Luscinia megarhynchos","1.19","4"
"2","53","56","Phoenicurus ochruros","0.93","4"
"2","53","56","Streptopelia decaocto","3","2"
"2","53","56","Sylvia atricapilla","0.69","4"
"2","53","56","Turdus merula","1.13","4"
"2","54","57","Luscinia megarhynchos","0.19","4"
"2","54","57","Phoenicurus ochruros","1.03","4"
"2","54","57","Streptopelia decaocto","3","2"
"2","54","57","Turdus merula","2.13","4"
"2","55","58","Corvus corone","0.79","4"
"2","55","58","Cyanistes caeruleus","0.86","1"
"2","55","58","Phoenicurus ochruros","1.03","4"
"2","55","58","Streptopelia decaocto","3","2"
"2","55","58","Turdus merula","3","4"
"2","56","59","Corvus corone","1.19","4"
"2","56","59","Cyanistes caeruleus","0.96","1"
"2","56","59","Phoenicurus ochruros","0.1","4"
"2","56","59","Streptopelia decaocto","3","2"
"2","56","59","Turdus merula","2.89","4"
"2","57","60","Corvus corone","1.19","4"
"2","57","60","Corvus corone","0.21","1"
"2","57","60","Cyanistes caeruleus","0.96","1"
"2","57","60","Streptopelia decaocto","2.96","2"
"2","57","60","Turdus merula","1.89","4"
"3","0","3","Luscinia megarhynchos","1.63","4"
"3","0","3","Sylvia atricapilla","3","4"
"3","1","4","Luscinia megarhynchos","1.72","4"
"3","1","4","Sylvia atricapilla","3","4"
"3","2","5","Luscinia megarhynchos","1.09","4"
"3","2","5","Sylvia atricapilla","3","4"
"3","3","6","Luscinia megarhynchos","0.09","4"
"3","3","6","Sylvia atricapilla","2.36","4"
"3","4","7","Sylvia atricapilla","1.36","4"
"3","5","8","Sylvia atricapilla","0.36","4"
"3","6","9","Sylvia atricapilla","0.63","1"
"3","7","10","Sylvia atricapilla","1.63","1"
"3","8","11","Sylvia atricapilla","2.63","1"
"3","9","12","Sylvia atricapilla","2.44","1"
"3","10","13","Luscinia megarhynchos","0.48","4"
"3","10","13","Sylvia atricapilla","1.44","1"
"3","10","13","Turdus merula","0.02","4"
"3","11","14","Luscinia megarhynchos","1.48","4"
"3","11","14","Sylvia atricapilla","0.44","1"
"3","11","14","Turdus merula","1.02","4"
"3","12","15","Luscinia megarhynchos","2.48","4"
"3","12","15","Sylvia atricapilla","0.22","4"
"3","12","15","Turdus merula","1.73","4"
"3","13","16","Luscinia megarhynchos","3","4"
"3","13","16","Sylvia atricapilla","1.22","4"
"3","13","16","Turdus merula","1.71","4"
"3","14","17","Luscinia megarhynchos","3","4"
"3","14","17","Sylvia atricapilla","2.22","4"
"3","14","17","Turdus merula","0.71","4"
"3","15","18","Luscinia megarhynchos","3","4"
"3","15","18","Sylvia atricapilla","3","4"
"3","16","19","Luscinia megarhynchos","3","4"
"3","16","19","Sylvia atricapilla","3","4"
"3","16","19","Turdus merula","0","1"
"3","17","20","Luscinia megarhynchos","2.07","4"
"3","17","20","Sylvia atricapilla","3","4"
"3","17","20","Turdus merula","1","1"
"3","18","21","Luscinia megarhynchos","1.07","4"
"3","18","21","Sylvia atricapilla","3","4"
"3","18","21","Turdus merula","1.46","1"
"3","19","22","Luscinia megarhynchos","0.07","4"
"3","19","22","Sylvia atricapilla","3","4"
"3","19","22","Turdus merula","1.46","1"
"3","20","23","Sylvia atricapilla","3","4"
"3","20","23","Turdus merula","0.46","1"
"3","21","24","Sylvia atricapilla","3","4"
"3","22","25","Luscinia megarhynchos","0.17","4"
"3","22","25","Sylvia atricapilla","3","4"
"3","23","26","Luscinia megarhynchos","1.17","4"
"3","23","26","Sylvia atricapilla","3","4"
"3","24","27","Luscinia megarhynchos","2.17","4"
"3","24","27","Sylvia atricapilla","3","4"
"3","25","28","Luscinia megarhynchos","3","4"
"3","25","28","Sylvia atricapilla","3","4"
"3","26","29","Luscinia megarhynchos","3","4"
"3","26","29","Sylvia atricapilla","3","4"
"3","27","30","Luscinia megarhynchos","3","4"
"3","27","30","Sylvia atricapilla","2.85","4"
"3","28","31","Luscinia megarhynchos","3","4"
"3","28","31","Sylvia atricapilla","1.85","4"
"3","29","32","Luscinia megarhynchos","2.98","4"
"3","29","32","Sylvia atricapilla","0.85","4"
"3","30","33","Luscinia megarhynchos","1.98","4"
"3","30","33","Turdus merula","0.6","1"
"3","31","34","Luscinia megarhynchos","0.98","4"
"3","31","34","Turdus merula","1.03","1"
"3","32","35","Turdus merula","1.03","1"
"3","33","36","Turdus merula","0.42","1"
"3","33","36","Turdus merula","1","4"
"3","34","37","Luscinia megarhynchos","0.64","4"
"3","34","37","Sylvia atricapilla","0.36","4"
"3","34","37","Turdus merula","1","4"
"3","35","38","Luscinia megarhynchos","1.64","4"
"3","35","38","Sylvia atricapilla","1.36","4"
"3","35","38","Turdus merula","1","4"
"3","36","39","Luscinia megarhynchos","2.64","4"
"3","36","39","Sylvia atricapilla","2.36","4"
"3","36","39","Turdus merula","0","4"
"3","37","40","Luscinia megarhynchos","3","4"
"3","37","40","Sylvia atricapilla","2.68","4"
"3","37","40","Turdus merula","0.38","4"
"3","38","41","Luscinia megarhynchos","3","4"
"3","38","41","Sylvia atricapilla","1.68","4"
"3","38","41","Turdus merula","0.98","4"
"3","39","42","Luscinia megarhynchos","3","4"
"3","39","42","Sylvia atricapilla","0.68","4"
"3","39","42","Turdus merula","0.98","4"
"3","40","43","Luscinia megarhynchos","3","4"
"3","40","43","Turdus merula","0.59","4"
"3","41","44","Luscinia megarhynchos","3","4"
"3","41","44","Sylvia atricapilla","0.76","4"
"3","42","45","Luscinia megarhynchos","3","4"
"3","42","45","Sylvia atricapilla","1.76","4"
"3","43","46","Luscinia megarhynchos","3","4"
"3","43","46","Sylvia atricapilla","2.76","4"
"3","44","47","Luscinia megarhynchos","3","4"
"3","44","47","Sylvia atricapilla","2.48","4"
"3","45","48","Luscinia megarhynchos","3","4"
"3","45","48","Sylvia atricapilla","1.48","4"
"3","46","49","Luscinia megarhynchos","3","4"
"3","46","49","Sylvia atricapilla","0.48","4"
"3","47","50","Luscinia megarhynchos","3","4"
"3","48","51","Luscinia megarhynchos","3","4"
"3","48","51","Sylvia atricapilla","0.59","4"
"3","49","52","Luscinia megarhynchos","3","4"
"3","49","52","Sylvia atricapilla","1.59","4"
"3","50","53","Luscinia megarhynchos","3","4"
"3","50","53","Sylvia atricapilla","2.59","4"
"3","51","54","Luscinia megarhynchos","3","4"
"3","51","54","Sylvia atricapilla","3","4"
"3","52","55","Luscinia megarhynchos","3","4"
"3","52","55","Sylvia atricapilla","2.33","4"
"3","53","56","Luscinia megarhynchos","3","4"
"3","53","56","Sylvia atricapilla","1.33","4"
"3","54","57","Luscinia megarhynchos","3","4"
"3","54","57","Sylvia atricapilla","0.33","4"
"3","55","58","Luscinia megarhynchos","2.25","4"
"3","55","58","Streptopelia decaocto","0.41","1"
"3","55","58","Sylvia atricapilla","0.26","1"
"3","56","59","Luscinia megarhynchos","1.25","4"
"3","56","59","Streptopelia decaocto","1.41","1"
"3","56","59","Sylvia atricapilla","1.26","1"
"3","57","60","Luscinia megarhynchos","0.25","4"
"3","57","60","Streptopelia decaocto","2.4","1"
"3","57","60","Sylvia atricapilla","2.25","1"
"4","0","3","Aegithalos caudatus","0.8","1"
"4","0","3","Luscinia megarhynchos","3","4"
"4","0","3","Streptopelia decaocto","0.56","1"
"4","0","3","Turdus merula","0.52","1"
"4","1","4","Aegithalos caudatus","0.24","1"
"4","1","4","Luscinia megarhynchos","3","4"
"4","1","4","Streptopelia decaocto","1.56","1"
"4","2","5","Luscinia megarhynchos","3","4"
"4","2","5","Streptopelia decaocto","2.37","1"
"4","2","5","Sylvia atricapilla","0.7","4"
"4","2","5","Turdus merula","0.96","4"
"4","3","6","Aegithalos caudatus","0.39","1"
"4","3","6","Luscinia megarhynchos","3","4"
"4","3","6","Streptopelia decaocto","1.81","1"
"4","3","6","Sylvia atricapilla","1.7","4"
"4","3","6","Turdus merula","1.96","4"
"4","4","7","Aegithalos caudatus","0.61","1"
"4","4","7","Luscinia megarhynchos","3","4"
"4","4","7","Streptopelia decaocto","0.81","1"
"4","4","7","Sylvia atricapilla","1.92","4"
"4","4","7","Turdus merula","2.96","4"
"4","5","8","Aegithalos caudatus","0.61","1"
"4","5","8","Luscinia megarhynchos","3","4"
"4","5","8","Sylvia atricapilla","1.23","4"
"4","5","8","Turdus merula","3","4"
"4","6","9","Aegithalos caudatus","0.23","1"
"4","6","9","Aegithalos caudatus","0.1","1"
"4","6","9","Luscinia megarhynchos","3","4"
"4","6","9","Sylvia atricapilla","0.23","4"
"4","6","9","Turdus merula","3","4"
"4","7","10","Aegithalos caudatus","0.51","1"
"4","7","10","Luscinia megarhynchos","3","4"
"4","7","10","Turdus merula","3","4"
"4","8","11","Aegithalos caudatus","0.51","1"
"4","8","11","Luscinia megarhynchos","3","4"
"4","8","11","Turdus merula","3","4"
"4","9","12","Aegithalos caudatus","0.41","1"
"4","9","12","Luscinia megarhynchos","3","4"
"4","9","12","Turdus merula","3","4"
"4","10","13","Luscinia megarhynchos","3","4"
"4","10","13","Turdus merula","3","4"
"4","11","14","Luscinia megarhynchos","3","4"
"4","11","14","Turdus merula","3","4"
"4","12","15","Aegithalos caudatus","0.33","1"
"4","12","15","Curruca communis","0.82","4"
"4","12","15","Luscinia megarhynchos","3","4"
"4","12","15","Turdus merula","3","4"
"4","13","16","Aegithalos caudatus","0.33","1"
"4","13","16","Curruca communis","1.11","4"
"4","13","16","Luscinia megarhynchos","3","4"
"4","13","16","Turdus merula","3","4"
"4","14","17","Aegithalos caudatus","0.33","1"
"4","14","17","Curruca communis","1.11","4"
"4","14","17","Luscinia megarhynchos","3","4"
"4","14","17","Turdus merula","3","4"
"4","15","18","Curruca communis","0.29","4"
"4","15","18","Luscinia megarhynchos","3","4"
"4","15","18","Turdus merula","3","4"
"4","16","19","Luscinia megarhynchos","3","4"
"4","16","19","Turdus merula","3","4"
"4","17","20","Luscinia megarhynchos","3","4"
"4","17","20","Turdus merula","3","4"
"4","18","21","Curruca communis","0.74","4"
"4","18","21","Luscinia megarhynchos","3","4"
"4","18","21","Turdus merula","3","4"
"4","19","22","Curruca communis","1.74","4"
"4","19","22","Luscinia megarhynchos","3","4"
"4","19","22","Turdus merula","3","4"
"4","20","23","Curruca communis","1.86","4"
"4","20","23","Luscinia megarhynchos","3","4"
"4","20","23","Turdus merula","2.57","4"
"4","21","24","Curruca communis","1.12","4"
"4","21","24","Luscinia megarhynchos","3","4"
"4","21","24","Turdus merula","1.57","4"
"4","22","25","Curruca communis","0.12","4"
"4","22","25","Luscinia megarhynchos","3","4"
"4","22","25","Turdus merula","0.57","4"
"4","23","26","Luscinia megarhynchos","3","4"
"4","23","26","Sylvia atricapilla","0.19","4"
"4","24","27","Luscinia megarhynchos","3","4"
"4","24","27","Sylvia atricapilla","1.19","4"
"4","24","27","Turdus merula","0.38","4"
"4","25","28","Luscinia megarhynchos","3","4"
"4","25","28","Sylvia atricapilla","2.19","4"
"4","25","28","Turdus merula","1.38","4"
"4","26","29","Luscinia megarhynchos","3","4"
"4","26","29","Sylvia atricapilla","2.27","4"
"4","26","29","Turdus merula","2.38","4"
"4","27","30","Luscinia megarhynchos","3","4"
"4","27","30","Sylvia atricapilla","1.27","4"
"4","27","30","Turdus merula","3","4"
"4","28","31","Luscinia megarhynchos","3","4"
"4","28","31","Sylvia atricapilla","0.27","4"
"4","28","31","Turdus merula","3","4"
"4","29","32","Luscinia megarhynchos","3","4"
"4","29","32","Turdus merula","2.64","4"
"4","30","33","Luscinia megarhynchos","3","4"
"4","30","33","Turdus merula","1.64","4"
"4","31","34","Luscinia megarhynchos","3","4"
"4","31","34","Turdus merula","0.64","4"
"4","32","35","Luscinia megarhynchos","3","4"
"4","32","35","Sylvia atricapilla","0.01","4"
"4","33","36","Luscinia megarhynchos","3","4"
"4","33","36","Sylvia atricapilla","1.01","4"
"4","34","37","Luscinia megarhynchos","3","4"
"4","34","37","Sylvia atricapilla","1.81","4"
"4","34","37","Turdus merula","0.34","4"
"4","35","38","Luscinia megarhynchos","3","4"
"4","35","38","Sylvia atricapilla","1.8","4"
"4","35","38","Turdus merula","1.34","4"
"4","36","39","Luscinia megarhynchos","3","4"
"4","36","39","Sylvia atricapilla","0.8","4"
"4","36","39","Turdus merula","2.34","4"
"4","37","40","Luscinia megarhynchos","3","4"
"4","37","40","Turdus merula","3","4"
"4","38","41","Luscinia megarhynchos","3","4"
"4","38","41","Turdus merula","3","4"
"4","39","42","Luscinia megarhynchos","3","4"
"4","39","42","Sylvia atricapilla","0.84","4"
"4","39","42","Turdus merula","3","4"
"4","40","43","Luscinia megarhynchos","3","4"
"4","40","43","Sylvia atricapilla","1.84","4"
"4","40","43","Turdus merula","3","4"
"4","41","44","Luscinia megarhynchos","3","4"
"4","41","44","Sylvia atricapilla","2.84","4"
"4","41","44","Turdus merula","3","4"
"4","42","45","Luscinia megarhynchos","3","4"
"4","42","45","Sylvia atricapilla","3","4"
"4","42","45","Turdus merula","3","4"
"4","43","46","Luscinia megarhynchos","3","4"
"4","43","46","Sylvia atricapilla","3","4"
"4","43","46","Turdus merula","3","4"
"4","44","47","Luscinia megarhynchos","3","4"
"4","44","47","Sylvia atricapilla","2.68","4"
"4","44","47","Turdus merula","3","4"
"4","45","48","Luscinia megarhynchos","3","4"
"4","45","48","Sylvia atricapilla","1.68","4"
"4","45","48","Turdus merula","3","4"
