Scientific_name,English_name
Eopsaltria pulverulenta,Mangrove Robin
Poecilodryas brachyura,Black-chinned Robin
Poecilodryas hypoleuca,Black-sided Robin
Poecilodryas superciliosa,White-browed Robin
Poecilodryas cerviniventris,Buff-sided Robin
Poecilodryas placens,Olive-yellow Robin
Poecilodryas albonotata,Black-throated Robin
Peneothello sigillata,White-winged Robin
Peneothello cryptoleuca,Smoky Robin
Peneothello bimaculata,White-rumped Robin
Peneothello cyanus,Blue-gray Robin
Heteromyias albispecularis,Ashy Robin
Heteromyias cinereifrons,Gray-headed Robin
Pachycephalopsis hattamensis,Green-backed Robin
Pachycephalopsis poliosoma,White-eyed Robin
Drymodes beccarii,Papuan Scrub-Robin
Drymodes superciliaris,Northern Scrub-Robin
Drymodes brunneopygia,Southern Scrub-Robin
Picathartes gymnocephalus,White-necked Rockfowl
Picathartes oreas,Gray-necked Rockfowl
Chaetops frenatus,Cape Rockjumper
Chaetops aurantius,Drakensberg Rockjumper
Eupetes macrocerus,Malaysian Rail-babbler
Hyliota flavigaster,Yellow-bellied Hyliota
Hyliota australis,Southern Hyliota
Hyliota usambara,Usambara Hyliota
Hyliota violacea,Violet-backed Hyliota
Stenostira scita,Fairy Flycatcher
Chelidorhynx hypoxanthus,Yellow-bellied Fairy-Fantail
Elminia longicauda,African Blue Flycatcher
Elminia albicauda,White-tailed Blue Flycatcher
Elminia nigromitrata,Dusky Crested-Flycatcher
Elminia albiventris,White-bellied Crested-Flycatcher
Elminia albonotata,White-tailed Crested-Flycatcher
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher
Culicicapa helianthea,Citrine Canary-Flycatcher
Cephalopyrus flammiceps,Fire-capped Tit
Sylviparus modestus,Yellow-browed Tit
Melanochlora sultanea,Sultan Tit
Periparus ater,Coal Tit
Periparus rufonuchalis,Rufous-naped Tit
Periparus rubidiventris,Rufous-vented Tit
Periparus venustulus,Yellow-bellied Tit
Periparus elegans,Elegant Tit
Periparus amabilis,Palawan Tit
Lophophanes cristatus,Crested Tit
Lophophanes dichrous,Gray-crested Tit
Sittiparus castaneoventris,Chestnut-bellied Tit
Sittiparus olivaceus,Iriomote Tit
Sittiparus varius,Varied Tit
Sittiparus owstoni,Owston's Tit
Sittiparus semilarvatus,White-fronted Tit
Poecile superciliosus,White-browed Tit
Poecile lugubris,Sombre Tit
Poecile davidi,Pere David's Tit
Poecile palustris,Marsh Tit
Poecile hyrcanus,Caspian Tit
Poecile hypermelaenus,Black-bibbed Tit
Poecile montanus,Willow Tit
Poecile weigoldicus,Sichuan Tit
Poecile carolinensis,Carolina Chickadee
Poecile atricapillus,Black-capped Chickadee
Poecile gambeli,Mountain Chickadee
Poecile sclateri,Mexican Chickadee
Poecile rufescens,Chestnut-backed Chickadee
Poecile hudsonicus,Boreal Chickadee
Poecile cinctus,Gray-headed Chickadee
Cyanistes caeruleus,Eurasian Blue Tit
Cyanistes teneriffae,African Blue Tit
Cyanistes cyanus,Azure Tit
Baeolophus wollweberi,Bridled Titmouse
Baeolophus inornatus,Oak Titmouse
Baeolophus ridgwayi,Juniper Titmouse
Baeolophus bicolor,Tufted Titmouse
Baeolophus atricristatus,Black-crested Titmouse
Pseudopodoces humilis,Ground Tit
Parus monticolus,Green-backed Tit
Parus major,Great Tit
Parus cinereus,Cinereous Tit
Parus minor,Japanese Tit
Machlolophus nuchalis,White-naped Tit
Machlolophus holsti,Taiwan Yellow Tit
Machlolophus xanthogenys,Himalayan Black-lored Tit
Machlolophus aplonotus,Indian Yellow Tit
Machlolophus spilonotus,Yellow-cheeked Tit
Melaniparus guineensis,White-shouldered Black-Tit
Melaniparus leucomelas,White-winged Black-Tit
Melaniparus rufiventris,Rufous-bellied Tit
Melaniparus albiventris,White-bellied Tit
Melaniparus niger,Southern Black-Tit
Melaniparus carpi,Carp's Tit
Melaniparus funereus,Dusky Tit
Melaniparus griseiventris,Miombo Tit
Melaniparus fasciiventer,Stripe-breasted Tit
Melaniparus thruppi,Somali Tit
Melaniparus fringillinus,Red-throated Tit
Melaniparus leuconotus,White-backed Black-Tit
Melaniparus cinerascens,Ashy Tit
Melaniparus afer,Gray Tit
Auriparus flaviceps,Verdin
Remiz pendulinus,Eurasian Penduline-Tit
Remiz macronyx,Black-headed Penduline-Tit
Remiz coronatus,White-crowned Penduline-Tit
Remiz consobrinus,Chinese Penduline-Tit
Anthoscopus punctifrons,Sennar Penduline-Tit
Anthoscopus musculus,Mouse-colored Penduline-Tit
Anthoscopus parvulus,Yellow Penduline-Tit
Anthoscopus flavifrons,Forest Penduline-Tit
Anthoscopus caroli,African Penduline-Tit
Anthoscopus minutus,Southern Penduline-Tit
Alaemon alaudipes,Greater Hoopoe-Lark
Alaemon hamertoni,Lesser Hoopoe-Lark
Chersomanes albofasciata,Spike-heeled Lark
Chersomanes beesleyi,Beesley's Lark
Ammomanopsis grayi,Gray's Lark
Certhilauda chuana,Short-clawed Lark
Certhilauda subcoronata,Karoo Long-billed Lark
Certhilauda benguelensis,Benguela Lark
Certhilauda semitorquata,Eastern Long-billed Lark
Certhilauda curvirostris,Cape Lark
Certhilauda brevirostris,Agulhas Lark
Pinarocorys erythropygia,Rufous-rumped Lark
Pinarocorys nigricans,Dusky Lark
Ramphocoris clotbey,Thick-billed Lark
Ammomanes cinctura,Bar-tailed Lark
Ammomanes phoenicura,Rufous-tailed Lark
Ammomanes deserti,Desert Lark
Eremopterix australis,Black-eared Sparrow-Lark
Eremopterix hova,Madagascar Lark
Eremopterix leucotis,Chestnut-backed Sparrow-Lark
Eremopterix nigriceps,Black-crowned Sparrow-Lark
Eremopterix griseus,Ashy-crowned Sparrow-Lark
Eremopterix signatus,Chestnut-headed Sparrow-Lark
Eremopterix verticalis,Gray-backed Sparrow-Lark
Eremopterix leucopareia,Fischer's Sparrow-Lark
Calendulauda sabota,Sabota Lark
Calendulauda poecilosterna,Pink-breasted Lark
Calendulauda africanoides,Fawn-colored Lark
Calendulauda alopex,Foxy Lark
Calendulauda albescens,Karoo Lark
Calendulauda burra,Red Lark
Calendulauda barlowi,Barlow's Lark
Calendulauda erythrochlamys,Dune Lark
Heteromirafra archeri,Liben Lark
Heteromirafra ruddi,Rudd's Lark
Mirafra apiata,Cape Clapper Lark
Mirafra fasciolata,Eastern Clapper Lark
Mirafra collaris,Collared Lark
Mirafra hypermetra,Red-winged Lark
Mirafra africana,Rufous-naped Lark
Mirafra ashi,Ash's Lark
Mirafra somalica,Somali Long-billed Lark
Mirafra angolensis,Angola Lark
Mirafra rufocinnamomea,Flappet Lark
Mirafra cordofanica,Kordofan Lark
Mirafra williamsi,Williams's Lark
Mirafra pulpa,Friedmann's Lark
Mirafra passerina,Monotonous Lark
Mirafra albicauda,White-tailed Lark
Mirafra cheniana,Latakoo Lark
Mirafra javanica,Australasian Bushlark
Mirafra cantillans,Singing Bushlark
Mirafra microptera,Burmese Bushlark
Mirafra assamica,Bengal Bushlark
Mirafra erythrocephala,Indochinese Bushlark
Mirafra affinis,Jerdon's Bushlark
Mirafra erythroptera,Indian Bushlark
Mirafra rufa,Rusty Lark
Mirafra gilletti,Gillett's Lark
Eremophila alpestris,Horned Lark
Eremophila bilopha,Temminck's Lark
Calandrella blanfordi,Blanford's Lark
Calandrella eremica,Rufous-capped Lark
Calandrella cinerea,Red-capped Lark
Calandrella brachydactyla,Greater Short-toed Lark
Calandrella dukhunensis,Mongolian Short-toed Lark
Calandrella acutirostris,Hume's Lark
Melanocorypha bimaculata,Bimaculated Lark
Melanocorypha calandra,Calandra Lark
Melanocorypha maxima,Tibetan Lark
Melanocorypha yeltoniensis,Black Lark
Melanocorypha mongolica,Mongolian Lark
Chersophilus duponti,Dupont's Lark
Eremalauda dunni,Dunn's Lark
Eremalauda eremodites,Arabian Lark
Alaudala somalica,Somali Short-toed Lark
Alaudala cheleensis,Asian Short-toed Lark
Alaudala rufescens,Mediterranean Short-toed Lark
Alaudala heinei,Turkestan Short-toed Lark
Alaudala raytal,Sand Lark
Lullula arborea,Wood Lark
Spizocorys starki,Stark's Lark
Spizocorys sclateri,Sclater's Lark
Spizocorys fremantlii,Short-tailed Lark
Spizocorys conirostris,Pink-billed Lark
Spizocorys fringillaris,Botha's Lark
Spizocorys obbiensis,Obbia Lark
Spizocorys personata,Masked Lark
Alauda leucoptera,White-winged Lark
Alauda arvensis,Eurasian Skylark
Alauda gulgula,Oriental Skylark
Alauda razae,Razo Skylark
Galerida modesta,Sun Lark
Galerida magnirostris,Large-billed Lark
Galerida theklae,Thekla's Lark
Galerida cristata,Crested Lark
Galerida macrorhyncha,Maghreb Lark
Galerida malabarica,Malabar Lark
Galerida deva,Tawny Lark
Panurus biarmicus,Bearded Reedling
Nicator chloris,Western Nicator
Nicator gularis,Eastern Nicator
Nicator vireo,Yellow-throated Nicator
Sylvietta virens,Green Crombec
Sylvietta denti,Lemon-bellied Crombec
Sylvietta leucophrys,White-browed Crombec
Sylvietta brachyura,Northern Crombec
Sylvietta philippae,Short-billed Crombec
Sylvietta ruficapilla,Red-capped Crombec
Sylvietta whytii,Red-faced Crombec
Sylvietta isabellina,Somali Crombec
Sylvietta rufescens,Cape Crombec
Achaetops pycnopygius,Rockrunner
Melocichla mentalis,Moustached Grass-Warbler
Sphenoeacus afer,Cape Grassbird
Cryptillas victorini,Victorin's Warbler
Macrosphenus kempi,Kemp's Longbill
Macrosphenus flavicans,Yellow Longbill
Macrosphenus concolor,Gray Longbill
Macrosphenus pulitzeri,Pulitzer's Longbill
Macrosphenus kretschmeri,Kretschmer's Longbill
Graueria vittata,Grauer's Warbler
Hylia prasina,Green Hylia
Pholidornis rushiae,Tit-hylia
Neomixis tenella,Common Jery
Neomixis viridis,Green Jery
Neomixis striatigula,Stripe-throated Jery
Micromacronus leytensis,Leyte Plumed-Warbler
Micromacronus sordidus,Mindanao Plumed-Warbler
Eremomela salvadorii,Salvadori's Eremomela
Eremomela flavicrissalis,Yellow-vented Eremomela
Eremomela icteropygialis,Yellow-bellied Eremomela
Eremomela pusilla,Senegal Eremomela
Eremomela canescens,Green-backed Eremomela
Eremomela scotops,Greencap Eremomela
Eremomela gregalis,Yellow-rumped Eremomela
Eremomela badiceps,Rufous-crowned Eremomela
Eremomela turneri,Turner's Eremomela
Eremomela atricollis,Black-necked Eremomela
Eremomela usticollis,Burnt-neck Eremomela
Drymocichla incana,Red-winged Gray Warbler
Schistolais leontica,Sierra Leone Prinia
Schistolais leucopogon,White-chinned Prinia
Oreophilais robertsi,Roberts's Warbler
Phragmacia substriata,Namaqua Warbler
Urolais epichlorus,Green Longtail
Oreolais pulcher,Black-collared Apalis
Oreolais ruwenzorii,Rwenzori Apalis
Artisornis metopias,African Tailorbird
Artisornis moreaui,Long-billed Tailorbird
Poliolais lopezi,White-tailed Warbler
Calamonastes undosus,Miombo Wren-Warbler
Calamonastes stierlingi,Stierling's Wren-Warbler
Calamonastes simplex,Gray Wren-Warbler
Calamonastes fasciolatus,Barred Wren-Warbler
Camaroptera brachyura,Green-backed Camaroptera
Camaroptera harterti,Hartert's Camaroptera
Camaroptera superciliaris,Yellow-browed Camaroptera
Camaroptera chloronota,Olive-green Camaroptera
Spiloptila clamans,Cricket Longtail
Phyllolais pulchella,Buff-bellied Warbler
Apalis thoracica,Bar-throated Apalis
Apalis fuscigularis,Taita Apalis
Apalis flavigularis,Yellow-throated Apalis
Apalis lynesi,Namuli Apalis
Apalis nigriceps,Black-capped Apalis
Apalis jacksoni,Black-throated Apalis
Apalis chariessa,White-winged Apalis
Apalis binotata,Masked Apalis
Apalis personata,Black-faced Apalis
Apalis flavida,Yellow-breasted Apalis
Apalis ruddi,Rudd's Apalis
Apalis sharpii,Sharpe's Apalis
Apalis rufogularis,Buff-throated Apalis
Apalis argentea,Kungwe Apalis
Apalis bamendae,Bamenda Apalis
Apalis goslingi,Gosling's Apalis
Apalis kaboboensis,Kabobo Apalis
Apalis porphyrolaema,Chestnut-throated Apalis
Apalis chapini,Chapin's Apalis
Apalis melanocephala,Black-headed Apalis
Apalis chirindensis,Chirinda Apalis
Apalis cinerea,Gray Apalis
Apalis alticola,Brown-headed Apalis
Apalis karamojae,Karamoja Apalis
Orthotomus sutorius,Common Tailorbird
Orthotomus frontalis,Rufous-fronted Tailorbird
Orthotomus atrogularis,Dark-necked Tailorbird
Orthotomus chaktomuk,Cambodian Tailorbird
Orthotomus ruficeps,Ashy Tailorbird
Orthotomus sepium,Olive-backed Tailorbird
Orthotomus sericeus,Rufous-tailed Tailorbird
Orthotomus castaneiceps,Visayan Tailorbird
Orthotomus derbianus,Gray-backed Tailorbird
Orthotomus chloronotus,Green-backed Tailorbird
Orthotomus samarensis,Yellow-breasted Tailorbird
Orthotomus nigriceps,White-browed Tailorbird
Orthotomus cinereiceps,White-eared Tailorbird
Prinia crinigera,Himalayan Prinia
Prinia striata,Striped Prinia
Prinia cooki,Burmese Prinia
Prinia rocki,Annam Prinia
Prinia polychroa,Brown Prinia
Prinia atrogularis,Black-throated Prinia
Prinia superciliaris,Hill Prinia
Prinia cinereocapilla,Gray-crowned Prinia
Prinia buchanani,Rufous-fronted Prinia
Prinia rufescens,Rufescent Prinia
Prinia hodgsonii,Gray-breasted Prinia
Prinia familiaris,Bar-winged Prinia
Prinia gracilis,Graceful Prinia
Prinia lepida,Delicate Prinia
Prinia sylvatica,Jungle Prinia
Prinia flaviventris,Yellow-bellied Prinia
Prinia socialis,Ashy Prinia
Prinia subflava,Tawny-flanked Prinia
Prinia inornata,Plain Prinia
Prinia somalica,Pale Prinia
Prinia fluviatilis,River Prinia
Prinia flavicans,Black-chested Prinia
Prinia maculosa,Karoo Prinia
Prinia hypoxantha,Drakensberg Prinia
Prinia molleri,Sao Tome Prinia
Prinia bairdii,Banded Prinia
Prinia erythroptera,Red-winged Prinia
Prinia rufifrons,Red-fronted Prinia
Euryptila subcinnamomea,Kopje Warbler
Scepomycter winifredae,Mrs. Moreau's Warbler
Incana incana,Socotra Warbler
Malcorus pectoralis,Rufous-eared Warbler
Bathmocercus cerviniventris,Black-capped Rufous-Warbler
Bathmocercus rufus,Black-faced Rufous-Warbler
Hypergerus atriceps,Oriole Warbler
Eminia lepida,Gray-capped Warbler
Cisticola erythrops,Red-faced Cisticola
Cisticola cantans,Singing Cisticola
Cisticola lateralis,Whistling Cisticola
Cisticola anonymus,Chattering Cisticola
Cisticola woosnami,Trilling Cisticola
Cisticola bulliens,Bubbling Cisticola
Cisticola chubbi,Chubb's Cisticola
Cisticola hunteri,Hunter's Cisticola
Cisticola nigriloris,Black-lored Cisticola
Cisticola bakerorum,Kilombero Cisticola
Cisticola aberrans,Rock-loving Cisticola
Cisticola bodessa,Boran Cisticola
Cisticola chiniana,Rattling Cisticola
Cisticola cinereolus,Ashy Cisticola
Cisticola ruficeps,Red-pate Cisticola
Cisticola guinea,Dorst's Cisticola
Cisticola rufilatus,Tinkling Cisticola
Cisticola subruficapilla,Red-headed Cisticola
Cisticola lais,Wailing Cisticola
Cisticola restrictus,Tana River Cisticola
Cisticola njombe,Churring Cisticola
Cisticola haematocephalus,Coastal Cisticola
Cisticola anderseni,White-tailed Cisticola
Cisticola luapula,Luapula Cisticola
Cisticola pipiens,Chirping Cisticola
Cisticola lugubris,Ethiopian Cisticola
Cisticola marginatus,Winding Cisticola
Cisticola galactotes,Rufous-winged Cisticola
Cisticola carruthersi,Carruthers's Cisticola
Cisticola tinniens,Levaillant's Cisticola
Cisticola robustus,Stout Cisticola
Cisticola natalensis,Croaking Cisticola
Cisticola fulvicapilla,Piping Cisticola
Cisticola aberdare,Aberdare Cisticola
Cisticola angusticauda,Tabora Cisticola
Cisticola melanurus,Slender-tailed Cisticola
Cisticola brachypterus,Siffling Cisticola
Cisticola rufus,Rufous Cisticola
Cisticola troglodytes,Foxy Cisticola
Cisticola nana,Tiny Cisticola
Cisticola juncidis,Zitting Cisticola
Cisticola haesitatus,Socotra Cisticola
Cisticola cherina,Madagascar Cisticola
Cisticola aridulus,Desert Cisticola
Cisticola textrix,Cloud Cisticola
Cisticola eximius,Black-backed Cisticola
Cisticola dambo,Cloud-scraping Cisticola
Cisticola brunnescens,Pectoral-patch Cisticola
Cisticola cinnamomeus,Pale-crowned Cisticola
Cisticola ayresii,Wing-snapping Cisticola
Cisticola exilis,Golden-headed Cisticola
Nesillas aldabrana,Aldabra Brush-Warbler
Nesillas longicaudata,Anjouan Brush-Warbler
Nesillas typica,Malagasy Brush-Warbler
Nesillas lantzii,Subdesert Brush-Warbler
Nesillas brevicaudata,Grand Comoro Brush-Warbler
Nesillas mariae,Moheli Brush-Warbler
Calamonastides gracilirostris,Papyrus Yellow-Warbler
Arundinax aedon,Thick-billed Warbler
Iduna caligata,Booted Warbler
Iduna rama,Sykes's Warbler
Iduna pallida,Eastern Olivaceous Warbler
Iduna opaca,Western Olivaceous Warbler
Iduna natalensis,African Yellow-Warbler
Iduna similis,Mountain Yellow-Warbler
Hippolais languida,Upcher's Warbler
Hippolais olivetorum,Olive-tree Warbler
Hippolais polyglotta,Melodious Warbler
Hippolais icterina,Icterine Warbler
Acrocephalus paludicola,Aquatic Warbler
Acrocephalus bistrigiceps,Black-browed Reed Warbler
Acrocephalus sorghophilus,Streaked Reed Warbler
Acrocephalus melanopogon,Moustached Warbler
Acrocephalus schoenobaenus,Sedge Warbler
Acrocephalus agricola,Paddyfield Warbler
Acrocephalus concinens,Blunt-winged Warbler
Acrocephalus tangorum,Manchurian Reed Warbler
Acrocephalus dumetorum,Blyth's Reed Warbler
Acrocephalus orinus,Large-billed Reed Warbler
Acrocephalus palustris,Marsh Warbler
Acrocephalus scirpaceus,Eurasian Reed Warbler
Acrocephalus baeticatus,African Reed Warbler
Acrocephalus griseldis,Basra Reed Warbler
Acrocephalus gracilirostris,Lesser Swamp Warbler
Acrocephalus rufescens,Greater Swamp Warbler
Acrocephalus brevipennis,Cape Verde Swamp Warbler
Acrocephalus newtoni,Madagascar Swamp Warbler
Acrocephalus rodericanus,Rodrigues Warbler
Acrocephalus sechellensis,Seychelles Warbler
Acrocephalus arundinaceus,Great Reed Warbler
Acrocephalus orientalis,Oriental Reed Warbler
Acrocephalus stentoreus,Clamorous Reed Warbler
Acrocephalus luscinius,Nightingale Reed Warbler
Acrocephalus hiwae,Saipan Reed Warbler
Acrocephalus australis,Australian Reed Warbler
Acrocephalus syrinx,Caroline Reed Warbler
Acrocephalus nijoi,Aguiguan Reed Warbler
Acrocephalus aequinoctialis,Kiritimati Reed Warbler
Acrocephalus mendanae,Southern Marquesan Reed Warbler
Acrocephalus yamashinae,Pagan Reed Warbler
Acrocephalus rehsei,Nauru Reed Warbler
Acrocephalus familiaris,Millerbird
Acrocephalus vaughani,Pitcairn Reed Warbler
Acrocephalus taiti,Henderson Island Reed Warbler
Acrocephalus kerearako,Cook Islands Reed Warbler
Acrocephalus rimitarae,Rimitara Reed Warbler
Acrocephalus musae,Society Islands Reed Warbler
Acrocephalus caffer,Tahiti Reed Warbler
Acrocephalus longirostris,Moorea Reed Warbler
Acrocephalus percernis,Northern Marquesan Reed Warbler
Acrocephalus atyphus,Tuamotu Reed Warbler
Acrocephalus astrolabii,Mangareva Reed Warbler
Robsonius rabori,Cordillera Ground-Warbler
Robsonius thompsoni,Sierra Madre Ground-Warbler
Robsonius sorsogonensis,Bicol Ground-Warbler
Helopsaltes fasciolatus,Gray's Grasshopper Warbler
Helopsaltes amnicola,Sakhalin Grasshopper Warbler
Helopsaltes pryeri,Marsh Grassbird
Helopsaltes certhiola,Pallas's Grasshopper Warbler
Helopsaltes ochotensis,Middendorff's Grasshopper Warbler
Helopsaltes pleskei,Pleske's Grasshopper Warbler
Locustella lanceolata,Lanceolated Warbler
Locustella alfredi,Bamboo Warbler
Locustella fluviatilis,River Warbler
Locustella luscinioides,Savi's Warbler
Locustella luteoventris,Brown Bush Warbler
Locustella naevia,Common Grasshopper-Warbler
Locustella major,Long-billed Bush Warbler
Locustella tacsanowskia,Chinese Bush Warbler
Locustella accentor,Friendly Bush Warbler
Locustella caudata,Long-tailed Bush Warbler
Locustella castanea,Sulawesi Bush Warbler
Locustella musculus,Seram Bush Warbler
Locustella portenta,Taliabu Bush Warbler
Locustella disturbans,Buru Bush Warbler
Locustella davidi,Baikal Bush Warbler
Locustella kashmirensis,West Himalayan Bush Warbler
Locustella thoracica,Spotted Bush Warbler
Locustella alishanensis,Taiwan Bush Warbler
Locustella mandelli,Russet Bush Warbler
Locustella idonea,Dalat Bush Warbler
Locustella chengi,Sichuan Bush Warbler
Locustella montis,Javan Bush Warbler
Locustella seebohmi,Benguet Bush Warbler
Poodytes albolimbatus,Fly River Grassbird
Poodytes carteri,Spinifexbird
Poodytes gramineus,Little Grassbird
Poodytes punctatus,New Zealand Fernbird
Poodytes rufescens,Chatham Islands Fernbird
Malia grata,Malia
Cincloramphus cruralis,Brown Songlark
Cincloramphus grosvenori,Bismarck Thicketbird
Cincloramphus rubiginosus,Rusty Thicketbird
Cincloramphus bivittatus,Buff-banded Bushbird
Cincloramphus mathewsi,Rufous Songlark
Cincloramphus timoriensis,Tawny Grassbird
Cincloramphus macrurus,Papuan Grassbird
Cincloramphus whitneyi,Guadalcanal Thicketbird
Cincloramphus mariei,New Caledonian Grassbird
Cincloramphus rufus,Long-legged Thicketbird
Cincloramphus llaneae,Bougainville Thicketbird
Elaphrornis palliseri,Sri Lanka Bush Warbler
Schoenicola platyurus,Broad-tailed Grassbird
Schoenicola striatus,Bristled Grassbird
Catriscus brevirostris,Fan-tailed Grassbird
Megalurus palustris,Striated Grassbird
Bradypterus sylvaticus,Knysna Warbler
Bradypterus bangwaensis,Bangwa Warbler
Bradypterus barratti,Barratt's Warbler
Bradypterus lopezi,Evergreen-forest Warbler
Bradypterus cinnamomeus,Cinnamon Bracken-Warbler
Bradypterus seebohmi,Gray Emutail
Bradypterus brunneus,Brown Emutail
Bradypterus grandis,Dja River Swamp Warbler
Bradypterus baboecala,Little Rush Warbler
Bradypterus carpalis,White-winged Swamp Warbler
Bradypterus graueri,Grauer's Swamp Warbler
Bradypterus centralis,Highland Rush Warbler
Donacobius atricapilla,Black-capped Donacobius
Oxylabes madagascariensis,White-throated Oxylabes
Bernieria madagascariensis,Long-billed Bernieria
Cryptosylvicola randrianasoloi,Cryptic Warbler
Hartertula flavoviridis,Wedge-tailed Jery
Thamnornis chloropetoides,Thamnornis
Crossleyia xanthophrys,Yellow-browed Oxylabes
Xanthomixis zosterops,Spectacled Tetraka
Xanthomixis apperti,Appert's Tetraka
Xanthomixis tenebrosa,Dusky Tetraka
Xanthomixis cinereiceps,Gray-crowned Tetraka
Randia pseudozosterops,Rand's Warbler
Pnoepyga albiventer,Scaly-breasted Cupwing
Pnoepyga mutica,Chinese Cupwing
Pnoepyga formosana,Taiwan Cupwing
Pnoepyga immaculata,Immaculate Cupwing
Pnoepyga pusilla,Pygmy Cupwing
Pseudochelidon eurystomina,African River Martin
Pseudochelidon sirintarae,White-eyed River Martin
Pygochelidon cyanoleuca,Blue-and-white Swallow
Pygochelidon melanoleuca,Black-collared Swallow
Alopochelidon fucata,Tawny-headed Swallow
Orochelidon flavipes,Pale-footed Swallow
Orochelidon murina,Brown-bellied Swallow
Orochelidon andecola,Andean Swallow
Atticora pileata,Black-capped Swallow
Atticora tibialis,White-thighed Swallow
Atticora fasciata,White-banded Swallow
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Stelgidopteryx ruficollis,Southern Rough-winged Swallow
Progne subis,Purple Martin
Progne cryptoleuca,Cuban Martin
Progne dominicensis,Caribbean Martin
Progne sinaloae,Sinaloa Martin
Progne chalybea,Gray-breasted Martin
Progne elegans,Southern Martin
Progne murphyi,Peruvian Martin
Progne modesta,Galapagos Martin
Progne tapera,Brown-chested Martin
Tachycineta bicolor,Tree Swallow
Tachycineta stolzmanni,Tumbes Swallow
Tachycineta albiventer,White-winged Swallow
Tachycineta leucorrhoa,White-rumped Swallow
Tachycineta leucopyga,Chilean Swallow
Tachycineta albilinea,Mangrove Swallow
Tachycineta euchrysea,Golden Swallow
Tachycineta thalassina,Violet-green Swallow
Tachycineta cyaneoviridis,Bahama Swallow
Riparia paludicola,Plain Martin
Riparia chinensis,Gray-throated Martin
Riparia congica,Congo Martin
Riparia riparia,Bank Swallow
Riparia diluta,Pale Sand Martin
Neophedina cincta,Banded Martin
Phedina borbonica,Mascarene Martin
Phedina brazzae,Brazza's Martin
Ptyonoprogne rupestris,Eurasian Crag-Martin
Ptyonoprogne fuligula,Rock Martin
Ptyonoprogne concolor,Dusky Crag-Martin
Hirundo rustica,Barn Swallow
Hirundo lucida,Red-chested Swallow
Hirundo aethiopica,Ethiopian Swallow
Hirundo angolensis,Angola Swallow
Hirundo nigrita,White-throated Blue Swallow
Hirundo albigularis,White-throated Swallow
Hirundo smithii,Wire-tailed Swallow
Hirundo neoxena,Welcome Swallow
Hirundo domicola,Hill Swallow
Hirundo tahitica,Pacific Swallow
Hirundo leucosoma,Pied-winged Swallow
Hirundo megaensis,White-tailed Swallow
Hirundo dimidiata,Pearl-breasted Swallow
Hirundo atrocaerulea,Montane Blue Swallow
Hirundo nigrorufa,Black-and-rufous Swallow
Cecropis cucullata,Greater Striped Swallow
Cecropis daurica,Red-rumped Swallow
Cecropis hyperythra,Sri Lanka Swallow
Cecropis striolata,Striated Swallow
Cecropis abyssinica,Lesser Striped Swallow
Cecropis semirufa,Rufous-chested Swallow
Cecropis senegalensis,Mosque Swallow
Cecropis badia,Rufous-bellied Swallow
Petrochelidon rufigula,Red-throated Swallow
Petrochelidon preussi,Preuss's Swallow
Petrochelidon perdita,Red Sea Swallow
Petrochelidon spilodera,South African Swallow
Petrochelidon fluvicola,Streak-throated Swallow
Petrochelidon ariel,Fairy Martin
Petrochelidon nigricans,Tree Martin
Petrochelidon pyrrhonota,Cliff Swallow
Petrochelidon fulva,Cave Swallow
Petrochelidon rufocollaris,Chestnut-collared Swallow
Atronanus fuliginosus,Forest Swallow
Delichon urbicum,Common House-Martin
Delichon dasypus,Asian House-Martin
Delichon nipalense,Nepal House-Martin
Psalidoprocne nitens,Square-tailed Sawwing
Psalidoprocne fuliginosa,Mountain Sawwing
Psalidoprocne albiceps,White-headed Sawwing
Psalidoprocne pristoptera,Black Sawwing
Psalidoprocne obscura,Fanti Sawwing
Pseudhirundo griseopyga,Gray-rumped Swallow
Cheramoeca leucosterna,White-backed Swallow
Andropadus importunus,Sombre Greenbul
Stelgidillas gracilirostris,Slender-billed Greenbul
Calyptocichla serinus,Golden Greenbul
Neolestes torquatus,Black-collared Bulbul
Bleda syndactylus,Red-tailed Bristlebill
Bleda eximius,Green-tailed Bristlebill
Bleda notatus,Lesser Bristlebill
Bleda canicapillus,Gray-headed Bristlebill
Arizelocichla montana,Cameroon Mountain Greenbul
Arizelocichla masukuensis,Shelley's Greenbul
Arizelocichla tephrolaema,Western Mountain Greenbul
Arizelocichla nigriceps,Eastern Mountain Greenbul
Arizelocichla neumanni,Uluguru Mountain Greenbul
Arizelocichla chlorigula,Yellow-throated Mountain Greenbul
Arizelocichla fusciceps,Black-browed Mountain Greenbul
Arizelocichla milanjensis,Stripe-cheeked Greenbul
Chlorocichla simplex,Simple Greenbul
Chlorocichla falkensteini,Yellow-necked Greenbul
Chlorocichla flaviventris,Yellow-bellied Greenbul
Chlorocichla laetissima,Joyful Greenbul
Chlorocichla prigoginei,Prigogine's Greenbul
Baeopogon indicator,Honeyguide Greenbul
Baeopogon clamans,Sj\u00f6stedt's Greenbul
Atimastillas flavicollis,Yellow-throated Greenbul
Ixonotus guttatus,Spotted Greenbul
Thescelocichla leucopleura,Swamp Greenbul
Criniger calurus,Red-tailed Greenbul
Criniger barbatus,Western Bearded-Greenbul
